categoria,Data,Total_Anuncios
comerciais,2025-06-12,2540
carros,2025-06-12,41053
motos,2025-06-12,2567
comerciais,2025-06-12 22:23:18,2542
carros,2025-06-12 22:23:18,41060
motos,2025-06-12 22:23:18,2567
