Marca,Data,Total_Anuncios
renault,2025-06-12 22:45:29,421
peugeot,2025-06-12 22:45:29,419
vw,2025-06-12 22:45:29,223
bmw,2025-06-12 22:45:29,386
mercedes-benz,2025-06-12 22:45:29,556
audi,2025-06-12 22:45:29,170
byd,2025-06-12 22:45:29,9
land-rover,2025-06-12 22:45:29,57
jaguar,2025-06-12 22:45:29,20
mazda,2025-06-12 22:45:29,36
mini,2025-06-12 22:45:29,61
nissan,2025-06-12 22:45:29,127
porsche,2025-06-12 22:45:29,83
tesla,2025-06-12 22:45:29,98
volvo,2025-06-12 22:45:29,91
